"","Sex","Umur","Angkatan","Belanja","Saku"
"1",1,242,2020,800000,1000000
"2",1,241,2020,2000000,2000000
"3",1,254,2020,500000,700000
"4",1,242,2020,600000,600000
"5",1,231,2020,400000,400000
"6",1,226,2021,600000,800000
"7",1,252,2019,400000,400000
"8",1,231,2021,500000,500000
"9",1,230,2021,800000,800000
"10",1,262,2019,300000,300000
"11",1,229,2021,500000,1000000
"12",1,219,2021,850000,850000
"13",1,234,2021,650000,750000
"14",1,226,2021,150000,200000
"15",1,255,2020,500000,600000
"16",1,219,2021,2100000,2500000
"17",1,250,2019,300000,500000
"18",1,229,2021,650000,700000
"19",1,230,2021,700000,700000
"20",1,233,2020,300000,400000
"21",1,246,2020,700000,1000000
"22",1,234,2020,400000,500000
"23",1,243,2020,800000,800000
"24",1,236,2021,500000,600000
"25",1,230,2021,550000,550000
"26",1,237,2020,1000000,1000000
"27",1,234,2021,400000,1200000
"28",1,235,2021,250000,300000
"29",1,235,2021,300000,350000
"30",1,253,2020,400000,400000
"31",2,224,2021,300000,350000
"32",2,252,2019,1500000,1500000
"33",2,224,2021,1000000,1000000
"34",2,219,2021,72000,320000
"35",2,229,2021,500000,1000000
"36",2,258,2019,700000,700000
"37",2,234,2021,1400000,1600000
"38",2,232,2021,300000,300000
"39",2,222,2021,750000,1500000
"40",2,227,2021,400000,400000
"41",2,233,2021,800000,1000000
"42",2,229,2021,900000,950000
"43",2,236,2021,300000,400000
"44",2,234,2020,1000000,300000
"45",2,236,2021,600000,800000
"46",2,226,2021,500000,700000
"47",2,230,2021,500000,500000
"48",2,234,2021,1000000,1500000
"49",2,224,2021,500000,500000
"50",2,224,2021,2000000,2000000
"51",2,232,2021,500000,400000
"52",2,225,2021,1800000,4000000
"53",2,245,2021,800000,800000
"54",2,228,2021,200000,300000
"55",2,227,2021,400000,500000
"56",2,238,2021,320000,320000
"57",2,229,2021,500000,750000
"58",2,230,2021,600000,800000
"59",2,225,2021,400000,1400000
